MeterID,Zone,ConsumerType,Date,EnergyConsymed_kwh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR1808,South,Residential,19-12-2025,267.4,8.4,13,Active,6.5
MTR1809,South,Commercial,05-08-2025,777.4,23.9,5,Active,8.2
MTR1810,Central,Commercial,10-04-2025,968.1,29.9,1,Active,8.2
MTR1811,South,Residential,11-02-2025,200,5.8,31,Active,6.5
MTR1812,South,Commercial,19-10-2025,816.7,27.9,7,Active,8.2
MTR1813,South,Residential,11-08-2025,211.8,6.8,2,Active,6.5
MTR1814,North,Industrial,02-09-2025,1414.9,49.1,11,Active,9.5
MTR1815,North,Industrial,19-02-2025,906.3,28.4,8,Active,9.5
MTR1816,South,Residential,13-07-2025,341.6,10.9,4,Active,6.5
MTR1817,North,Residential,15-09-2025,244.1,9,5,Active,6.5
MTR1818,North,Residential,21-05-2025,218.3,6.3,12,Active,6.5
MTR1819,North,Commercial,27-05-2025,862.3,25.9,7,Active,8.2
MTR1820,South,Industrial,14-12-2025,1810.5,68.4,7,Faulty,9.5
MTR1821,North,Industrial,03-08-2025,1582.1,57.1,10,Active,9.5
MTR1822,North,Residential,24-03-2025,328.7,10.6,23,Active,6.5
MTR1823,South,Industrial,08-09-2025,1423.1,53.2,1,Faulty,9.5
MTR1824,South,Residential,15-04-2025,272,10.6,0,Active,6.5
MTR1825,North,Industrial,11-11-2025,1505.5,47,51,Active,9.5
MTR1826,South,Residential,21-10-2025,292.2,8.6,1,Active,6.5
MTR1827,South,Industrial,23-05-2025,1551.7,57.9,4,Active,9.5
MTR1828,South,Industrial,22-10-2025,1667.8,52,4,Active,9.5
MTR1829,North,Industrial,29-10-2025,1845.4,70.5,5,Active,9.5
MTR1830,Central,Commercial,08-07-2025,605.6,22.2,1,Active,8.2
MTR1831,South,Commercial,09-12-2025,1040.6,33.9,0,Active,8.2
MTR1832,North,Commercial,13-11-2025,939.8,31.7,3,Active,8.2
MTR1833,South,Industrial,11-07-2025,1643.3,57.6,0,Active,9.5
MTR1834,Central,Commercial,02-10-2025,1027.7,36.9,4,Active,8.2
MTR1835,Central,Residential,25-05-2025,204.7,7.9,13,Active,6.5
MTR1836,Central,Residential,06-08-2025,249.2,8.3,9,Active,6.5
MTR1837,South,Commercial,01-02-2025,1023.5,35.6,0,Active,8.2
MTR1838,North,Commercial,03-06-2025,722.9,23.2,1,Active,8.2
MTR1839,South,Commercial,03-08-2025,900.2,32.8,4,Active,8.2
MTR1840,Central,Residential,15-07-2025,253.4,7.4,21,Active,6.5
MTR1841,North,Industrial,11-09-2025,1857.2,54.2,3,Active,9.5
MTR1842,South,Residential,27-11-2025,267.5,8.6,8,Active,6.5
MTR1843,North,Industrial,05-01-2025,1610.3,52.6,0,Faulty,9.5
MTR1844,Central,Residential,28-11-2025,178.7,5.4,6,Faulty,6.5
MTR1845,North,Commercial,26-12-2025,746.2,27.9,2,Active,8.2
MTR1846,South,Industrial,15-07-2025,1678,52.6,9,Active,9.5
MTR1847,North,Industrial,16-07-2025,1424.9,42.7,16,Active,9.5
MTR1848,North,Industrial,29-07-2025,1664.6,61.2,14,Active,9.5
MTR1849,North,Residential,02-05-2025,245.5,9.1,8,Active,6.5
MTR1850,South,Industrial,23-12-2025,1454.7,52,4,Active,9.5
MTR1851,Central,Industrial,17-09-2025,1420.3,51.9,6,Active,9.5
MTR1852,North,Commercial,05-03-2025,485.9,14,14,Active,8.2
MTR1853,North,Residential,16-11-2025,187.4,6.7,16,Active,6.5
MTR1854,Central,Residential,22-08-2025,267.3,8.8,6,Active,6.5
MTR1855,North,Industrial,23-01-2025,1633.5,49.6,26,Active,9.5
MTR1856,North,Commercial,08-12-2025,984.5,28.7,3,Active,8.2
MTR1857,Central,Residential,24-07-2025,323,10.9,9,Active,6.5
MTR1858,South,Commercial,06-01-2025,843.6,30.3,1,Active,8.2
MTR1859,South,Industrial,04-01-2025,1409.4,54.3,3,Active,9.5
MTR1860,South,Commercial,25-12-2025,801.3,30,1,Active,8.2
MTR1861,Central,Residential,18-06-2025,281.8,8.3,5,Active,6.5
MTR1862,North,Residential,10-01-2025,199,6.2,11,Active,6.5
MTR1863,South,Industrial,19-01-2025,1432.3,51.8,2,Active,9.5
MTR1864,South,Residential,24-11-2025,247.2,9,15,Active,6.5
MTR1865,North,Residential,31-07-2025,252.5,8.9,4,Active,6.5
MTR1866,South,Residential,17-07-2025,325.4,12.5,12,Active,6.5
MTR1867,North,Residential,23-09-2025,277.1,9,4,Active,6.5
MTR1868,North,Residential,19-03-2025,277.5,8,0,Active,6.5
MTR1869,North,Commercial,09-02-2025,749.5,21.7,23,Active,8.2
MTR1870,North,Industrial,26-11-2025,1822.3,54.1,7,Active,9.5
MTR1871,North,Commercial,13-03-2025,824.9,26.5,2,Active,8.2
MTR1872,South,Residential,08-03-2025,272,10.3,26,Active,6.5
MTR1873,North,Residential,18-01-2025,185.7,6,1,Active,6.5
MTR1874,South,Residential,16-03-2025,174,5.4,11,Faulty,6.5
MTR1875,South,Industrial,10-08-2025,1630,50.7,12,Active,9.5
MTR1876,North,Commercial,07-08-2025,636.7,19.6,0,Active,8.2
MTR1877,South,Commercial,01-09-2025,758.4,28.2,1,Active,8.2
MTR1878,South,Residential,22-12-2025,286.7,8.6,16,Active,6.5
MTR1879,North,Residential,01-11-2025,198.6,5.7,1,Faulty,6.5
MTR1880,Central,Residential,09-03-2025,263.4,8.2,10,Active,6.5
MTR1881,Central,Industrial,18-07-2025,1646.9,60.5,32,Active,9.5
MTR1882,Central,Commercial,04-04-2025,910.9,28.3,9,Active,8.2
MTR1883,South,Commercial,14-02-2025,505.5,19.3,5,Active,8.2
MTR1884,Central,Residential,15-04-2025,235.2,8.3,2,Active,6.5
MTR1885,South,Industrial,12-02-2025,1530.4,52.2,11,Active,9.5
MTR1886,North,Residential,13-11-2025,306.3,11.8,5,Active,6.5
MTR1887,Central,Commercial,09-11-2025,864.9,33.5,2,Active,8.2
MTR1888,North,Residential,04-02-2025,201.6,6.4,0,Active,6.5
MTR1889,South,Commercial,25-10-2025,914.3,32.3,18,Active,8.2
MTR1890,Central,Industrial,06-02-2025,1230.3,45.7,10,Active,9.5
MTR1891,Central,Industrial,12-09-2025,1201.4,42.2,23,Active,9.5
MTR1892,South,Residential,26-04-2025,214.5,6.2,5,Active,6.5
MTR1893,Central,Residential,09-04-2025,227.9,8.2,13,Active,6.5
MTR1894,North,Residential,24-10-2025,271.6,9.7,2,Active,6.5
MTR1895,North,Commercial,23-11-2025,929,30.1,1,Active,8.2
MTR1896,Central,Industrial,13-10-2025,1413.6,47.9,6,Active,9.5
MTR1897,South,Commercial,28-01-2025,894.2,33.9,11,Active,8.2
MTR1898,South,Industrial,30-05-2025,1462.9,45.1,0,Active,9.5
MTR1899,Central,Commercial,08-03-2025,737.6,23.2,1,Active,8.2
MTR1900,North,Commercial,07-09-2025,666.5,26,4,Active,8.2
MTR1901,South,Industrial,24-09-2025,1760.9,65.6,1,Active,9.5
MTR1902,North,Residential,27-06-2025,213.2,7.8,5,Active,6.5
MTR1903,Central,Industrial,30-07-2025,1182.1,38.7,4,Active,9.5
MTR1904,North,Residential,23-04-2025,268.7,7.8,1,Active,6.5
MTR1905,North,Industrial,21-03-2025,1530.1,45.5,4,Active,9.5
MTR1906,North,Residential,06-10-2025,222.7,8.1,8,Active,6.5
MTR1907,Central,Residential,18-02-2025,217.3,7.9,5,Active,6.5
MTR1908,South,Industrial,22-01-2025,1570,51.5,3,Active,9.5
MTR1909,South,Residential,22-11-2025,205.2,7.3,9,Active,6.5
MTR1910,Central,Industrial,19-07-2025,1722.7,61.4,5,Active,9.5
MTR1911,South,Industrial,03-03-2025,1502.6,48.7,5,Active,9.5
MTR1912,North,Industrial,24-02-2025,1435.5,49.1,5,Active,9.5
MTR1913,Central,Residential,06-05-2025,236.5,8,32,Faulty,6.5
MTR1914,North,Commercial,20-04-2025,751.3,22,12,Active,8.2
MTR1915,South,Commercial,23-12-2025,717.4,23.5,8,Active,8.2
MTR1916,North,Industrial,25-08-2025,1390.5,48.3,4,Active,9.5
MTR1917,North,Commercial,15-11-2025,663.6,22.5,7,Active,8.2
MTR1918,South,Residential,25-11-2025,288.6,9.3,9,Active,6.5
MTR1919,South,Industrial,26-08-2025,1696.6,62.3,2,Active,9.5
MTR1920,North,Commercial,18-05-2025,667.6,22.4,17,Active,8.2
MTR1921,South,Residential,31-10-2025,216.4,6.7,1,Active,6.5
MTR1922,North,Residential,19-12-2025,204.4,6.9,14,Active,6.5
MTR1923,North,Industrial,01-04-2025,1783.5,51.3,3,Active,9.5
MTR1924,South,Commercial,11-07-2025,702.8,23.2,5,Active,8.2
MTR1925,Central,Industrial,23-03-2025,1735.2,68.2,13,Active,9.5
MTR1926,Central,Industrial,27-08-2025,1352.4,42.9,8,Active,9.5
MTR1927,South,Residential,11-01-2025,246.3,7.7,11,Active,6.5
MTR1928,Central,Industrial,24-10-2025,1515.1,53.3,18,Active,9.5
MTR1929,North,Commercial,15-04-2025,590.7,18.6,16,Active,8.2
MTR1930,South,Commercial,18-12-2025,885.9,28.4,13,Active,8.2
MTR1931,South,Residential,26-02-2025,325.2,9.4,19,Active,6.5
MTR1932,Central,Industrial,28-05-2025,1962.7,65,0,Active,9.5
MTR1933,North,Industrial,13-06-2025,1695.2,61.7,4,Active,9.5
MTR1934,Central,Residential,30-07-2025,237.1,7.1,5,Active,6.5
MTR1935,South,Residential,11-03-2025,194,7.5,8,Active,6.5
MTR1936,Central,Industrial,14-07-2025,2124.6,64.5,6,Active,9.5
MTR1937,South,Industrial,20-07-2025,1583.6,57.2,4,Active,9.5
MTR1938,North,Residential,09-08-2025,225.6,8.1,7,Active,6.5
MTR1939,Central,Commercial,11-10-2025,747.5,29.2,7,Active,8.2
MTR1940,North,Residential,26-03-2025,179,5.9,8,Active,6.5
MTR1941,North,Residential,03-07-2025,260,8.3,1,Active,6.5
MTR1942,South,Commercial,17-01-2025,1017.5,35.8,1,Active,8.2
MTR1943,North,Commercial,21-05-2025,737.9,27.6,0,Active,8.2
MTR1944,Central,Commercial,12-10-2025,979.2,29.5,0,Active,8.2
MTR1945,North,Residential,09-03-2025,222.9,7.7,1,Active,6.5
MTR1946,South,Residential,30-05-2025,346.9,13.7,11,Active,6.5
MTR1947,North,Industrial,23-11-2025,1418.4,45.6,0,Faulty,9.5
MTR1948,Central,Commercial,13-01-2025,631.9,19.1,8,Active,8.2
MTR1949,South,Residential,05-03-2025,322,9.5,1,Active,6.5
MTR1950,South,Residential,13-09-2025,208.4,6.2,0,Active,6.5
MTR1951,North,Commercial,30-08-2025,813.2,24.1,5,Active,8.2
MTR1952,North,Residential,30-08-2025,279.6,9.4,6,Active,6.5
MTR1953,Central,Residential,02-08-2025,215.3,7.3,11,Active,6.5
MTR1954,North,Residential,05-08-2025,148.3,5.6,11,Active,6.5
MTR1955,North,Residential,22-08-2025,340.2,11.9,6,Active,6.5
MTR1956,South,Industrial,21-02-2025,1561.1,46.3,1,Active,9.5
MTR1957,South,Residential,24-03-2025,169.5,6,4,Active,6.5
MTR1958,Central,Commercial,13-10-2025,795.4,25.8,2,Faulty,8.2
MTR1959,Central,Commercial,14-09-2025,742.1,25.2,5,Active,8.2
MTR1960,Central,Industrial,01-09-2025,1611.8,48.7,2,Active,9.5
MTR1961,North,Residential,31-03-2025,241.6,8.6,6,Active,6.5
MTR1962,North,Residential,10-03-2025,243,7.6,8,Active,6.5
MTR1963,North,Residential,06-09-2025,326.3,10.9,2,Active,6.5
MTR1964,Central,Industrial,06-08-2025,1892.7,62.2,10,Active,9.5
MTR1965,Central,Industrial,12-08-2025,1597.8,53.8,9,Active,9.5
MTR1966,Central,Industrial,12-04-2025,1945.3,67.6,20,Active,9.5
MTR1967,South,Industrial,13-03-2025,1519.1,51.7,4,Active,9.5
MTR1968,South,Commercial,18-11-2025,710.5,20.3,3,Faulty,8.2
MTR1969,Central,Residential,08-12-2025,261.9,9.9,5,Active,6.5
MTR1970,Central,Industrial,08-09-2025,1673.7,48.7,7,Active,9.5
MTR1971,Central,Industrial,03-02-2025,1974.5,62.5,0,Active,9.5
MTR1972,Central,Residential,07-02-2025,241.9,9.7,0,Faulty,6.5
MTR1973,North,Residential,09-03-2025,230.4,7.6,8,Faulty,6.5
MTR1974,South,Commercial,16-12-2025,816.3,29.4,6,Active,8.2
MTR1975,North,Industrial,23-03-2025,1836,63.1,7,Active,9.5
MTR1976,South,Commercial,20-06-2025,684.6,22.8,6,Active,8.2
MTR1977,North,Industrial,29-01-2025,1286.1,48.6,13,Active,9.5
MTR1978,Central,Industrial,19-04-2025,1465.7,54.2,10,Active,9.5
MTR1979,North,Commercial,21-09-2025,673.3,26.7,3,Active,8.2
MTR1980,Central,Commercial,04-12-2025,797.3,28.4,8,Active,8.2
MTR1981,North,Residential,28-05-2025,204,7.7,16,Active,6.5
MTR1982,Central,Commercial,13-01-2025,765.1,22.9,11,Active,8.2
MTR1983,North,Commercial,01-12-2025,872.9,25.2,2,Active,8.2
MTR1984,South,Commercial,09-04-2025,629,18.4,4,Active,8.2
MTR1985,North,Industrial,01-05-2025,1401.2,52.7,1,Active,9.5
MTR1986,North,Industrial,12-11-2025,1433.4,48.4,26,Active,9.5
MTR1987,North,Industrial,07-07-2025,1520.2,48.2,5,Active,9.5
MTR1988,North,Residential,03-06-2025,265.9,9.7,4,Active,6.5
MTR1989,South,Industrial,11-03-2025,1655.4,48.4,11,Active,9.5
MTR1990,Central,Residential,03-06-2025,201.7,6.7,5,Active,6.5
MTR1991,North,Commercial,24-07-2025,914.2,29.1,9,Active,8.2
MTR1992,South,Commercial,25-11-2025,900.7,35.9,21,Active,8.2
MTR1993,South,Commercial,08-07-2025,721.3,26.9,7,Active,8.2
MTR1994,Central,Residential,23-09-2025,275.1,8.5,5,Active,6.5
MTR1995,North,Residential,10-08-2025,238.4,7.5,11,Active,6.5
MTR1996,Central,Commercial,09-09-2025,911.6,33.4,10,Active,8.2
MTR1997,North,Commercial,04-02-2025,848.7,26.6,10,Active,8.2
MTR1998,South,Industrial,28-07-2025,1552.4,52.6,0,Active,9.5
MTR1999,Central,Industrial,12-11-2025,1783.4,56.6,14,Active,9.5
MTR2000,North,Residential,15-12-2025,346.4,12.6,13,Active,6.5
MTR2001,Central,Industrial,25-02-2025,2039.8,62,0,Active,9.5
MTR2002,North,Commercial,22-02-2025,891.7,26.7,8,Active,8.2
MTR2003,Central,Residential,12-04-2025,327.5,9.5,3,Active,6.5
MTR2004,South,Residential,05-06-2025,263,7.6,17,Active,6.5
MTR2005,South,Residential,15-01-2025,188.5,5.9,6,Active,6.5
MTR2006,Central,Commercial,06-06-2025,716.5,26.7,28,Active,8.2
MTR2007,North,Residential,28-06-2025,337.5,10.5,10,Active,6.5
MTR2008,Central,Commercial,09-09-2025,961.9,32.6,6,Active,8.2
MTR2009,North,Residential,03-11-2025,209,7.3,17,Active,6.5
MTR2010,North,Residential,07-08-2025,237.9,9,1,Active,6.5
MTR2011,Central,Commercial,12-02-2025,762,30,3,Active,8.2
MTR2012,South,Industrial,01-07-2025,1501.4,53.9,7,Active,9.5
MTR2013,South,Commercial,06-01-2025,883.1,25.7,7,Active,8.2
MTR2014,South,Commercial,30-01-2025,731.2,23.1,10,Active,8.2
MTR2015,South,Commercial,27-01-2025,785.9,26.3,2,Active,8.2
MTR2016,South,Industrial,22-08-2025,1237.4,40.2,8,Active,9.5
MTR2017,Central,Residential,29-03-2025,205.5,6.8,0,Active,6.5
MTR2018,North,Commercial,14-04-2025,761.5,23.5,32,Active,8.2
MTR2019,South,Commercial,17-10-2025,804,29.2,7,Active,8.2
MTR2020,North,Commercial,03-05-2025,675.9,21.1,9,Active,8.2
MTR2021,North,Commercial,06-08-2025,759.3,30.2,18,Active,8.2
MTR2022,North,Residential,30-07-2025,303.7,12,2,Active,6.5
MTR2023,Central,Commercial,23-09-2025,710.5,20.5,25,Faulty,8.2
MTR2024,North,Industrial,31-05-2025,1799.4,61.8,21,Active,9.5
MTR2025,Central,Commercial,30-07-2025,976,38.6,2,Active,8.2
MTR2026,North,Commercial,13-05-2025,827,29.3,11,Active,8.2
MTR2027,North,Industrial,29-01-2025,1717.8,63.2,6,Active,9.5
MTR2028,North,Commercial,31-07-2025,861.6,28.5,1,Active,8.2
MTR2029,North,Industrial,11-09-2025,1790.2,52.5,7,Active,9.5
MTR2030,South,Commercial,18-11-2025,852,25.6,1,Active,8.2
MTR2031,South,Industrial,17-06-2025,1549.4,48.7,2,Active,9.5
MTR2032,Central,Residential,29-09-2025,257.2,9.8,6,Active,6.5
MTR2033,North,Industrial,01-11-2025,1466.4,43.6,6,Active,9.5
MTR2034,Central,Residential,31-03-2025,249.3,7.3,4,Active,6.5
MTR2035,North,Residential,02-07-2025,288.4,9.2,15,Active,6.5
MTR2036,South,Industrial,09-05-2025,2006.6,62.3,2,Active,9.5
MTR2037,South,Commercial,24-07-2025,910.7,30.6,5,Active,8.2
MTR2038,Central,Industrial,31-07-2025,1387.5,52.3,0,Active,9.5
MTR2039,South,Commercial,23-11-2025,838.2,24.7,0,Active,8.2
MTR2040,Central,Commercial,06-11-2025,747.4,29.3,7,Active,8.2
MTR2041,South,Commercial,11-09-2025,797.5,30.3,0,Active,8.2
MTR2042,Central,Industrial,31-08-2025,1499.2,43.4,0,Active,9.5
MTR2043,North,Commercial,05-02-2025,613.7,19.3,2,Active,8.2
MTR2044,South,Residential,04-08-2025,197.9,6.3,0,Active,6.5
MTR2045,North,Industrial,06-01-2025,1913.1,57,3,Active,9.5
MTR2046,North,Commercial,06-09-2025,890,27.6,2,Active,8.2
MTR2047,North,Commercial,10-05-2025,790.1,26.4,7,Active,8.2
MTR2048,North,Residential,15-07-2025,218.5,8.3,5,Active,6.5
MTR2049,South,Residential,29-08-2025,281.8,9,12,Active,6.5
MTR2050,Central,Residential,10-09-2025,268.7,8,0,Active,6.5
MTR2051,North,Industrial,24-07-2025,1418.8,50.1,0,Active,9.5
MTR2052,South,Commercial,19-01-2025,796.4,27.1,20,Active,8.2
MTR2053,Central,Commercial,27-07-2025,714.9,21.6,4,Active,8.2
MTR2054,South,Commercial,15-08-2025,560.1,16.5,26,Active,8.2
MTR2055,Central,Commercial,03-03-2025,825.6,26,22,Faulty,8.2
MTR2056,South,Residential,28-10-2025,227.8,8.7,7,Active,6.5
MTR2057,South,Residential,13-05-2025,234.1,6.8,14,Active,6.5
MTR2058,South,Commercial,31-05-2025,912,29.9,1,Active,8.2
MTR2059,South,Residential,23-02-2025,189.4,6.6,1,Active,6.5
MTR2060,South,Residential,27-08-2025,236.4,7.6,2,Active,6.5
MTR2061,North,Residential,06-09-2025,277.6,8.2,9,Active,6.5
MTR2062,South,Residential,28-11-2025,221.5,6.8,3,Active,6.5
MTR2063,North,Industrial,01-02-2025,1324.6,42.7,13,Active,9.5
MTR2064,Central,Industrial,26-08-2025,1577.7,53.3,8,Active,9.5
MTR2065,South,Residential,26-04-2025,246.7,8.7,1,Faulty,6.5
MTR2066,North,Industrial,16-07-2025,1684.3,55.3,0,Active,9.5
MTR2067,South,Residential,14-04-2025,297.7,11.6,1,Active,6.5
MTR2068,South,Commercial,13-06-2025,729.7,24.6,5,Active,8.2
MTR2069,Central,Commercial,07-10-2025,978.6,29.3,17,Active,8.2
MTR2070,Central,Residential,02-08-2025,286,11,4,Active,6.5
MTR2071,South,Residential,05-08-2025,236.6,6.9,8,Active,6.5
MTR2072,North,Residential,14-10-2025,244.8,7.7,5,Active,6.5
MTR2073,North,Residential,27-11-2025,245.2,8.7,10,Active,6.5
MTR2074,Central,Industrial,11-07-2025,1838.6,63,8,Active,9.5
MTR2075,South,Industrial,19-08-2025,1575.8,56.3,2,Active,9.5
MTR2076,South,Commercial,15-11-2025,724.8,23.8,11,Active,8.2
MTR2077,Central,Commercial,18-07-2025,641.8,19.1,22,Active,8.2
MTR2078,Central,Residential,16-05-2025,243.4,7,4,Faulty,6.5
MTR2079,North,Industrial,04-12-2025,1739,68.6,7,Active,9.5
MTR2080,South,Residential,24-03-2025,172,5.9,0,Active,6.5
MTR2081,North,Commercial,09-10-2025,911.6,29.7,9,Active,8.2
MTR2082,Central,Commercial,30-01-2025,850.2,33.6,5,Active,8.2
MTR2083,Central,Commercial,29-11-2025,887.5,30.7,9,Active,8.2
MTR2084,South,Industrial,13-03-2025,1881.6,61.3,12,Active,9.5
MTR2085,Central,Residential,16-03-2025,241.9,7.8,1,Active,6.5
MTR2086,North,Residential,19-04-2025,215.4,7.2,3,Active,6.5
MTR2087,South,Commercial,21-11-2025,643.8,22,6,Faulty,8.2
MTR2088,South,Residential,30-12-2025,264.5,9.2,1,Active,6.5
MTR2089,Central,Residential,27-09-2025,247,7.4,4,Active,6.5
MTR2090,Central,Residential,08-08-2025,178.6,6.5,3,Active,6.5
MTR2091,South,Industrial,08-10-2025,1454.6,50.7,1,Active,9.5
MTR2092,Central,Industrial,16-02-2025,1619.4,50.4,7,Active,9.5
MTR2093,South,Commercial,13-12-2025,711,23.6,1,Active,8.2
MTR2094,Central,Residential,25-01-2025,229.5,6.9,14,Active,6.5
MTR2095,North,Residential,11-01-2025,221.6,7.8,1,Active,6.5
MTR2096,Central,Commercial,04-03-2025,1053,38.6,3,Active,8.2
MTR2097,Central,Residential,27-03-2025,324.5,10.4,3,Active,6.5
MTR2098,Central,Commercial,06-04-2025,807.8,29.6,8,Active,8.2
MTR2099,South,Industrial,11-10-2025,1722.5,50.6,5,Active,9.5
MTR2100,North,Residential,05-06-2025,307.1,10.3,1,Active,6.5
MTR2101,North,Commercial,06-02-2025,996.8,36.2,3,Active,8.2
MTR2102,Central,Industrial,04-06-2025,1364.5,42,3,Active,9.5
MTR2103,South,Industrial,17-02-2025,1575,46.4,2,Active,9.5
MTR2104,South,Industrial,02-07-2025,1505.2,55.1,2,Active,9.5
MTR2105,Central,Industrial,26-03-2025,1807.7,61.2,4,Active,9.5
MTR2106,South,Commercial,18-03-2025,746.3,26.3,1,Active,8.2
MTR2107,North,Residential,07-04-2025,267.5,9.7,9,Active,6.5
MTR2108,North,Residential,28-11-2025,285.9,11.3,16,Active,6.5
MTR2109,North,Industrial,25-11-2025,1905.1,73,1,Faulty,9.5
MTR2110,North,Residential,02-04-2025,279.6,8.3,1,Active,6.5
MTR2111,North,Commercial,14-06-2025,828.7,32.5,2,Active,8.2
MTR2112,South,Industrial,27-05-2025,1153.4,37.5,9,Active,9.5
MTR2113,Central,Industrial,27-01-2025,1733.7,63.2,0,Active,9.5
MTR2114,South,Residential,21-09-2025,280.1,9.9,28,Active,6.5
MTR2115,South,Residential,17-05-2025,228.5,7.3,21,Active,6.5
MTR2116,North,Residential,09-07-2025,300.7,10,6,Faulty,6.5
MTR2117,North,Residential,18-01-2025,264.5,10.5,12,Active,6.5
MTR2118,Central,Commercial,04-09-2025,838.2,26,1,Active,8.2
MTR2119,Central,Commercial,22-06-2025,767.2,24.9,0,Active,8.2
MTR2120,South,Industrial,15-02-2025,1924.8,58.6,28,Active,9.5
MTR2121,North,Commercial,13-07-2025,547.6,18.6,0,Active,8.2
MTR2122,North,Residential,30-04-2025,238.7,9.2,3,Active,6.5
MTR2123,South,Industrial,09-07-2025,1532.9,59.4,2,Active,9.5
MTR2124,Central,Commercial,08-05-2025,539.3,17.6,21,Active,8.2
MTR2125,Central,Commercial,05-03-2025,822.8,24.2,12,Active,8.2
MTR2126,North,Commercial,11-03-2025,631.4,19.3,16,Active,8.2
MTR2127,South,Residential,15-07-2025,274.8,10.4,0,Active,6.5
MTR2128,South,Commercial,05-11-2025,768.6,25.5,4,Active,8.2
MTR2129,South,Commercial,02-03-2025,700.1,26.8,2,Active,8.2
MTR2130,South,Commercial,04-12-2025,837.3,24.6,1,Active,8.2
MTR2131,Central,Commercial,18-03-2025,784.9,25.1,11,Active,8.2
MTR2132,Central,Residential,03-11-2025,324.2,12.7,10,Active,6.5
MTR2133,South,Commercial,25-02-2025,771.4,24.6,3,Active,8.2
MTR2134,South,Commercial,20-11-2025,962.9,34.1,14,Faulty,8.2
MTR2135,Central,Commercial,10-03-2025,789.2,26.7,3,Active,8.2
MTR2136,North,Commercial,12-05-2025,692.7,22.2,5,Active,8.2
MTR2137,South,Residential,24-06-2025,297.4,10.6,1,Active,6.5
MTR2138,South,Residential,04-08-2025,260.5,7.9,5,Active,6.5
MTR2139,Central,Residential,18-07-2025,308.3,12.2,2,Active,6.5
MTR2140,South,Industrial,22-09-2025,1573.4,54.3,2,Active,9.5
MTR2141,Central,Residential,18-12-2025,260.1,8.6,3,Active,6.5
MTR2142,North,Commercial,31-08-2025,744.4,25.9,5,Active,8.2
MTR2143,South,Industrial,05-01-2025,1546.8,51.1,12,Active,9.5
MTR2144,Central,Industrial,14-05-2025,1599.1,63.4,7,Active,9.5
MTR2145,Central,Commercial,16-03-2025,883.8,33.1,2,Active,8.2
MTR2146,South,Residential,28-12-2025,296.6,10,1,Active,6.5
MTR2147,South,Residential,16-10-2025,296.3,11.5,4,Active,6.5
MTR2148,South,Industrial,14-12-2025,1383.3,43.8,12,Active,9.5
MTR2149,South,Industrial,07-12-2025,1654.4,50.8,7,Active,9.5
MTR2150,North,Commercial,12-03-2025,982.6,30.2,34,Active,8.2
MTR2151,South,Industrial,24-01-2025,1791.7,65.2,6,Active,9.5
MTR2152,Central,Commercial,06-04-2025,771.8,22.4,8,Active,8.2
MTR2153,North,Commercial,27-01-2025,926.6,27,20,Active,8.2
MTR2154,Central,Industrial,05-07-2025,1323.8,46.5,7,Active,9.5
MTR2155,North,Commercial,14-07-2025,925.6,36,3,Active,8.2
MTR2156,South,Residential,02-07-2025,299.4,9.6,1,Active,6.5
MTR2157,South,Industrial,03-08-2025,1250.8,43.5,5,Active,9.5
MTR2158,South,Commercial,07-12-2025,782.6,29.5,1,Active,8.2
MTR2159,Central,Residential,28-09-2025,282.2,9.9,5,Active,6.5
MTR2160,South,Industrial,27-08-2025,1657.4,50.2,14,Active,9.5
MTR2161,North,Residential,04-05-2025,270.4,8.2,0,Active,6.5
MTR2162,South,Commercial,25-04-2025,796.7,23.8,12,Active,8.2
MTR2163,South,Commercial,08-07-2025,674.6,20.2,1,Faulty,8.2
MTR2164,Central,Residential,19-07-2025,253.8,8.4,1,Active,6.5
MTR2165,Central,Industrial,29-07-2025,2064.8,73.7,16,Active,9.5
MTR2166,North,Residential,23-02-2025,279.3,9.1,10,Active,6.5
MTR2167,North,Commercial,13-10-2025,667.3,21.6,6,Active,8.2
MTR2168,North,Commercial,17-02-2025,693.9,23.8,2,Active,8.2
MTR2169,South,Commercial,06-11-2025,835.9,28,7,Active,8.2
MTR2170,North,Commercial,25-04-2025,996.7,31.1,15,Active,8.2
MTR2171,Central,Commercial,19-10-2025,674.6,20.8,1,Active,8.2
MTR2172,North,Residential,15-06-2025,250.7,9.1,22,Active,6.5
MTR2173,North,Residential,14-08-2025,292.1,11.1,7,Active,6.5
MTR2174,North,Residential,15-03-2025,263,8.8,6,Active,6.5
MTR2175,South,Commercial,31-05-2025,976.6,38.9,3,Active,8.2
MTR2176,Central,Residential,02-11-2025,248,7.3,1,Active,6.5
MTR2177,Central,Industrial,13-11-2025,1389,48.5,0,Active,9.5
MTR2178,Central,Industrial,14-10-2025,1421.4,53.6,16,Faulty,9.5
MTR2179,South,Residential,09-03-2025,237.1,8.4,0,Active,6.5
MTR2180,North,Industrial,19-08-2025,1727.3,61.5,20,Active,9.5
MTR2181,South,Commercial,02-02-2025,692.5,24,2,Active,8.2
MTR2182,South,Residential,29-11-2025,213.8,6.8,5,Active,6.5
MTR2183,North,Commercial,23-04-2025,933.5,30.4,7,Active,8.2
MTR2184,South,Residential,02-12-2025,296.8,9.6,10,Active,6.5
